T/s,ref/rad,theta 1/rad,theta 2/rad
0.0468,0,-0.000284886,-0.000280805
0.0469,0,-0.000283403,-0.000283664
0.047,0,-0.000282531,-0.000285817
0.0471,0,-0.000282698,-0.000286767
0.0472,0,-0.000284185,-0.00028619
0.0473,0,-0.000287079,-0.000283981
0.0474,0,-0.000291251,-0.000280284
0.0475,0,-0.000296371,-0.000275474
0.0476,0,-0.000301962,-0.000270099
0.0477,0,-0.000307478,-0.000264783
0.0478,0,-0.000312387,-0.000260136
0.0479,0,-0.000316235,-0.000256679
0.048,0,-0.000318702,-0.000254781
0.0481,0,-0.000319646,-0.000254608
0.0482,0,-0.000319133,-0.000256083
0.0483,0,-0.000317437,-0.000258893
0.0484,0,-0.000314996,-0.000262537
0.0485,0,-0.000312331,-0.000266416
0.0486,0,-0.000309971,-0.00026992
0.0487,0,-0.000308389,-0.000272506
0.0488,0,-0.000307944,-0.000273757
0.0489,0,-0.000308842,-0.000273433
0.049,0,-0.000311095,-0.000271521
0.0491,0,-0.000314506,-0.000268239
0.0492,0,-0.000318704,-0.000264015
0.0493,0,-0.000323199,-0.000259408
0.0494,0,-0.000327467,-0.00025502
0.0495,0,-0.000331019,-0.000251415
0.0496,0,-0.000333458,-0.000249048
0.0497,0,-0.000334534,-0.000248208
0.0498,0,-0.00033419,-0.000248965
0.0499,0,-0.000332574,-0.000251149
0.05,0,-0.000330029,-0.000254369
0.0501,0,-0.000327031,-0.000258079
0.0502,0,-0.000324112,-0.000261668
0.0503,0,-0.000321781,-0.000264551
0.0504,0,-0.000320463,-0.000266238
0.0505,0,-0.000320444,-0.000266399
0.0506,0,-0.000321823,-0.000264918
0.0507,0,-0.00032449,-0.000261917
0.0508,0,-0.000328138,-0.000257748
0.0509,0,-0.000332311,-0.000252936
0.051,0,-0.00033648,-0.000248084
0.0511,0,-0.000340127,-0.000243789
0.0512,0,-0.000342804,-0.000240566
0.0513,0,-0.000344186,-0.000238792
0.0514,0,-0.000344107,-0.000238659
0.0515,0,-0.000342589,-0.000240145
0.0516,0,-0.000339843,-0.000243011
0.0517,0,-0.000336245,-0.000246827
0.0518,0,-0.000332303,-0.000251013
0.0519,0,-0.000328594,-0.000254908
0.052,0,-0.000325685,-0.000257861
0.0521,0,-0.000324057,-0.000259322
0.0522,0,-0.00032403,-0.00025892
0.0523,0,-0.000325711,-0.000256534
0.0524,0,-0.000328973,-0.000252307
0.0525,0,-0.000333494,-0.000246609
0.0526,0,-0.000338811,-0.000239971
0.0527,0,-0.000344394,-0.000233004
0.0528,0,-0.00034971,-0.00022632
0.0529,0,-0.000354286,-0.000220466
0.053,0,-0.000357756,-0.000215864
0.0531,0,-0.000359905,-0.000212765
0.0532,0,-0.000360704,-0.000211206
0.0533,0,-0.000360327,-0.00021099
0.0534,0,-0.000359129,-0.000211715
0.0535,0,-0.00035759,-0.000212826
0.0536,0,-0.000356243,-0.000213718
0.0537,0,-0.000355585,-0.000213816
0.0538,0,-0.000356024,-0.000212653
0.0539,0,-0.000357816,-0.000209933
0.054,0,-0.000361022,-0.000205585
0.0541,0,-0.000365487,-0.000199785
0.0542,0,-0.000370864,-0.00019293
0.0543,0,-0.000376674,-0.00018557
0.0544,0,-0.000382383,-0.00017832
0.0545,0,-0.000387476,-0.000171771
0.0546,0,-0.000391522,-0.00016642
0.0547,0,-0.000394225,-0.000162608
0.0548,0,-0.000395471,-0.00016047
0.0549,0,-0.000395351,-0.000159903
0.055,0,-0.000394157,-0.000160575
0.0551,0,-0.000392333,-0.000161977
0.0552,0,-0.000390402,-0.000163509
0.0553,0,-0.000388886,-0.000164572
0.0554,0,-0.000388238,-0.000164643
0.0555,0,-0.000388793,-0.000163337
