T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0.0378,0.072325626,0.175675875
0.0379,0.060948324,0.188452796
0.038,0.055644882,0.194402604
0.0381,0.057333702,0.192473395
0.0382,0.065929401,0.182760045
0.0383,0.080427471,0.166407047
0.0384,0.098999064,0.145501474
0.0385,0.119298092,0.12272235
0.0386,0.138733949,0.101027582
0.0387,0.154905875,0.083158453
0.0388,0.165900909,0.071299387
0.0389,0.170540398,0.066795832
0.039,0.168560185,0.069947175
0.0391,0.160537197,0.08009074
0.0392,0.147769336,0.095739947
0.0393,0.132157545,0.114720544
0.0394,0.115968873,0.134440415
0.0395,0.101547481,0.152219146
0.0396,0.091039989,0.165601488
0.0397,0.086006166,0.172803441
0.0398,0.087238579,0.17291836
0.0399,0.094645813,0.166048709
0.04,0.107324769,0.153223393
0.0401,0.123642929,0.13630534
0.0402,0.14150477,0.117687396
0.0403,0.158601189,0.100006073
0.0404,0.172716937,0.085790038
0.0405,0.182086949,0.077054001
0.0406,0.18560769,0.075057475
0.0407,0.183023851,0.08009003
0.0408,0.174892653,0.091511786
0.0409,0.162467251,0.107887489
0.041,0.147577512,0.127124241
0.0411,0.132397391,0.146736394
0.0412,0.119142998,0.164190109
0.0413,0.109703215,0.177326062
0.0414,0.105418605,0.184612177
0.0415,0.10696737,0.185273464
0.0416,0.114231421,0.179443528
0.0417,0.126354229,0.168098498
0.0418,0.141804808,0.152985573
0.0419,0.158623785,0.136342201
0.042,0.174652081,0.120633572
0.0421,0.187904848,0.108126147
0.0422,0.196799503,0.100627095
0.0423,0.200323596,0.099292565
0.0424,0.198228254,0.104405369
0.0425,0.191012687,0.115392364
0.0426,0.179831745,0.130930898
0.0427,0.166389621,0.14907182
0.0428,0.15272267,0.167486768
0.0429,0.140912805,0.18379525
0.043,0.132731808,0.195971708
0.0431,0.129430977,0.202586006
0.0432,0.131634009,0.202925367
0.0433,0.139205811,0.197142752
0.0434,0.151308942,0.186192407
0.0435,0.166462525,0.171764203
0.0436,0.182716747,0.156083856
0.0437,0.197953384,0.141569092
0.0438,0.210251914,0.130412163
0.0439,0.218134045,0.124300736
0.044,0.220695011,0.124267703
0.0441,0.217677351,0.130606528
0.0442,0.209577341,0.142748335
0.0443,0.197580077,0.159336543
0.0444,0.183432812,0.178373259
0.0445,0.169236313,0.197456673
0.0446,0.157125308,0.214145978
0.0447,0.148894974,0.226388944
0.0448,0.145791877,0.232760908
0.0449,0.148408907,0.232584367
0.045,0.156559275,0.226071439
0.0451,0.169339899,0.214251472
0.0452,0.185198164,0.19889642
0.0453,0.202114285,0.182312071
0.0454,0.217915467,0.166978719
0.0455,0.230646866,0.155128149
0.0456,0.238811883,0.148469284
0.0457,0.241497969,0.148044204
0.0458,0.238452137,0.154141528
0.0459,0.230186822,0.166174161
0.046,0.217913008,0.182756181
0.0461,0.20341058,0.201852645
0.0462,0.188816096,0.221021083
0.0463,0.176230684,0.237859948
0.0464,0.167436087,0.250333166
0.0465,0.163694826,0.256998461
0.0466,0.165636663,0.257136748
0.0467,0.173123817,0.250904654
0.0468,0.1853024,0.239275788
0.0469,0.200658948,0.223977766
0.047,0.217199223,0.207287539
0.0471,0.232760981,0.191673678
0.0472,0.245384542,0.179373814
0.0473,0.253554154,0.172119056
0.0474,0.256327,0.170986369
0.0475,0.253412766,0.176307318
0.0476,0.245283944,0.187540745
0.0477,0.233113347,0.203344649
0.0478,0.218648314,0.221721583
0.0479,0.204001418,0.240256802
0.048,0.191260271,0.256564521
0.0481,0.182203977,0.268612012
0.0482,0.178102671,0.27494864
0.0483,0.179617117,0.274820412
0.0484,0.186659977,0.268327046
0.0485,0.198426678,0.25638657
0.0486,0.213433261,0.240693533
0.0487,0.229697864,0.223511303
0.0488,0.245071499,0.207293983
0.0489,0.257601069,0.194272429
0.049,0.265755387,0.186196012
0.0491,0.268561697,0.184176448
0.0492,0.265691624,0.188589276
0.0493,0.25757759,0.198939571
0.0494,0.24535575,0.213927637
0.0495,0.230744515,0.231589488
0.0496,0.215838181,0.249531655
0.0497,0.202789544,0.265293617
0.0498,0.193432362,0.276779982
0.0499,0.189062913,0.282510233
0.05,0.190348332,0.281723222
0.0501,0.197192797,0.274528586
0.0502,0.208773447,0.26186554
0.0503,0.223583002,0.245455623
0.0504,0.239615563,0.227590049
0.0505,0.254690043,0.210759879
0.0506,0.266823273,0.197230552
0.0507,0.274470952,0.188766732
0.0508,0.276662254,0.186478289
0.0509,0.273083596,0.190724265
0.051,0.264191878,0.200982201
0.0511,0.251153682,0.215918092
0.0512,0.235719914,0.233531292
0.0513,0.220015713,0.251393579
0.0514,0.206202181,0.267035592
0.0515,0.196111109,0.278364912
0.0516,0.191043392,0.283896394
0.0517,0.191671721,0.282863142
0.0518,0.197904796,0.275370192
0.0519,0.20892181,0.262354954
0.052,0.223214299,0.245540845
0.0521,0.238835595,0.227152665
0.0522,0.253631023,0.209652382
0.0523,0.265618483,0.195305155
0.0524,0.273226111,0.185907893
0.0525,0.275440232,0.182620074
0.0526,0.271907857,0.18584624
0.0527,0.263050163,0.195105109
0.0528,0.249994029,0.209108422
0.0529,0.234454453,0.225896949
0.053,0.218508547,0.243097925
0.0531,0.204298876,0.258263645
0.0532,0.19366764,0.269290151
0.0533,0.18793649,0.274668951
0.0534,0.187790889,0.273618719
0.0535,0.193142523,0.266240995
0.0536,0.203181557,0.253460526
0.0537,0.216433734,0.236961679
0.0538,0.230999443,0.218915633
0.0539,0.244775753,0.201725467
0.054,0.255824611,0.187606248
0.0541,0.262596795,0.178329127
0.0542,0.264097627,0.175032084
0.0543,0.26007986,0.177998237
0.0544,0.25104804,0.186650775
