T/s,ref/rad,theta 1/rad,theta 2/rad
0.0407,0,-0.004677576,-0.004661197
0.0408,0,-0.004692589,-0.00468548
0.0409,0,-0.004708641,-0.004708361
0.041,0,-0.004726065,-0.004729455
0.0411,0,-0.004744992,-0.004748606
0.0412,0,-0.004765337,-0.004765908
0.0413,0,-0.004786808,-0.004781691
0.0414,0,-0.004808952,-0.004796467
0.0415,0,-0.004831219,-0.004810861
0.0416,0,-0.004853033,-0.004825529
0.0417,0,-0.004873865,-0.004841069
0.0418,0,-0.004893311,-0.004857941
0.0419,0,-0.00491114,-0.004876404
0.042,0,-0.004927328,-0.004896482
0.0421,0,-0.004942059,-0.004917964
0.0422,0,-0.004955693,-0.004940434
0.0423,0,-0.004968719,-0.004963331
0.0424,0,-0.004981687,-0.004986023
0.0425,0,-0.004995132,-0.005007897
0.0426,0,-0.005009506,-0.005028434
0.0427,0,-0.005025117,-0.005047281
0.0428,0,-0.005042084,-0.005064299
0.0429,0,-0.00506032,-0.005079586
0.043,0,-0.005079547,-0.005093458
0.0431,0,-0.005099337,-0.005106404
0.0432,0,-0.005119169,-0.005119017
0.0433,0,-0.005138498,-0.005131917
0.0434,0,-0.005156834,-0.005145666
0.0435,0,-0.005173799,-0.005160691
0.0436,0,-0.005189191,-0.005177225
0.0437,0,-0.005203012,-0.005195266
0.0438,0,-0.005215462,-0.005214583
0.0439,0,-0.005226913,-0.005234751
0.044,0,-0.005237855,-0.005255212
0.0441,0,-0.005248833,-0.005275342
0.0442,0,-0.005260379,-0.005294535
0.0443,0,-0.005272939,-0.00531228
0.0444,0,-0.005286811,-0.005328238
0.0445,0,-0.005302101,-0.00534229
0.0446,0,-0.0053187,-0.005354559
0.0447,0,-0.005336308,-0.005365392
0.0448,0,-0.00535447,-0.005375308
0.0449,0,-0.005372643,-0.00538493
0.045,0,-0.005390264,-0.005394901
0.0451,0,-0.005406827,-0.005405801
0.0452,0,-0.005421951,-0.005418068
0.0453,0,-0.005435434,-0.005431935
0.0454,0,-0.005447284,-0.005447395
0.0455,0,-0.005457714,-0.005464206
0.0456,0,-0.00546711,-0.00548193
0.0457,0,-0.005475976,-0.005499993
0.0458,0,-0.005484874,-0.005517757
0.0459,0,-0.00549435,-0.005534601
0.046,0,-0.005504862,-0.005550002
0.0461,0,-0.005516718,-0.005563614
0.0462,0,-0.005530029,-0.005575312
0.0463,0,-0.005544694,-0.005585216
0.0464,0,-0.005560419,-0.005593664
0.0465,0,-0.005576759,-0.005601169
0.0466,0,-0.005593175,-0.005608348
0.0467,0,-0.005609107,-0.005615848
0.0468,0,-0.005624044,-0.005624254
0.0469,0,-0.005637596,-0.005634014
0.047,0,-0.005649551,-0.005645377
0.0471,0,-0.005659903,-0.005658352
0.0472,0,-0.005668853,-0.005672715
0.0473,0,-0.005676773,-0.005688044
0.0474,0,-0.005684159,-0.005703778
0.0475,0,-0.005691565,-0.005719287
0.0476,0,-0.005699536,-0.005733954
0.0477,0,-0.005708531,-0.005747258
0.0478,0,-0.005718863,-0.005758847
0.0479,0,-0.005730652,-0.00576859
0.048,0,-0.005743804,-0.005776595
0.0481,0,-0.005758038,-0.005783193
0.0482,0,-0.005772918,-0.005788886
0.0483,0,-0.005787914,-0.005794283
0.0484,0,-0.005802469,-0.005800026
0.0485,0,-0.005816072,-0.005806704
0.0486,0,-0.005828328,-0.005814772
0.0487,0,-0.005839018,-0.005824487
0.0488,0,-0.005848128,-0.00583587
0.0489,0,-0.005855849,-0.005848707
0.049,0,-0.005862547,-0.005862587
0.0491,0,-0.005868709,-0.005876957
0.0492,0,-0.005874887,-0.005891193
0.0493,0,-0.005881627,-0.005904676
0.0494,0,-0.005889394,-0.005916881
0.0495,0,-0.005898507,-0.005927447
0.0496,0,-0.005909097,-0.005936232
0.0497,0,-0.00592108,-0.005943337
0.0498,0,-0.005934175,-0.005949089
0.0499,0,-0.005947944,-0.005953995
0.05,0,-0.005961854,-0.005958668
0.0501,0,-0.005975343,-0.005963756
0.0502,0,-0.005987901,-0.005969849
0.0503,0,-0.005999131,-0.005977404
0.0504,0,-0.006008815,-0.005986677
0.0505,0,-0.006016947,-0.005997682
0.0506,0,-0.006023725,-0.006010197
0.0507,0,-0.006029525,-0.0060238
0.0508,0,-0.006034845,-0.006037925
0.0509,0,-0.006040248,-0.006051937
0.051,0,-0.006046288,-0.006065209
0.0511,0,-0.006053433,-0.00607721
0.0512,0,-0.006062008,-0.006087578
0.0513,0,-0.00607214,-0.006096171
0.0514,0,-0.006083743,-0.006103094
0.0515,0,-0.006096532,-0.006108678
0.0516,0,-0.006110068,-0.006113433
0.0517,0,-0.006123811,-0.006117979
0.0518,0,-0.006137199,-0.006122966
0.0519,0,-0.006149712,-0.006128991
0.052,0,-0.006160952,-0.006136517
0.0521,0,-0.006170693,-0.006145806
0.0522,0,-0.006178915,-0.006156888
0.0523,0,-0.006185804,-0.006169554
0.0524,0,-0.006191724,-0.006183396
0.0525,0,-0.006197165,-0.006197858
0.0526,0,-0.006202686,-0.006212307
0.0527,0,-0.006208839,-0.006226117
0.0528,0,-0.006216097,-0.006238753
0.0529,0,-0.006224791,-0.006249842
0.053,0,-0.00623506,-0.006259231
0.0531,0,-0.006246832,-0.006267006
0.0532,0,-0.006259838,-0.006273482
0.0533,0,-0.00627365,-0.00627915
0.0534,0,-0.006287743,-0.006284617
0.0535,0,-0.006301562,-0.006290521
0.0536,0,-0.006314601,-0.006297445
0.0537,0,-0.006326467,-0.006305841
0.0538,0,-0.006336939,-0.006315969
0.0539,0,-0.006345996,-0.006327856
0.054,0,-0.006353818,-0.006341301
0.0541,0,-0.006360759,-0.006355904
0.0542,0,-0.006367298,-0.006371122
0.0543,0,-0.006373976,-0.006386341
0.0544,0,-0.006381319,-0.006400966
0.0545,0,-0.006389766,-0.006414497
0.0546,0,-0.006399614,-0.006426602
0.0547,0,-0.006410972,-0.006437157
0.0548,0,-0.00642375,-0.006446272
0.0549,0,-0.006437672,-0.006454264
0.055,0,-0.00645232,-0.006461615
0.0551,0,-0.006467191,-0.006468905
0.0552,0,-0.00648176,-0.006476735
0.0553,0,-0.006495557,-0.006485646
0.0554,0,-0.006508233,-0.006496041
0.0555,0,-0.006519608,-0.006508127
0.0556,0,-0.006529697,-0.006521891
0.0557,0,-0.006538706,-0.0065371
0.0558,0,-0.006547002,-0.006553338
0.0559,0,-0.006555063,-0.006570062
0.056,0,-0.006563409,-0.006586678
0.0561,0,-0.006572532,-0.006602628
0.0562,0,-0.006582822,-0.006617468
0.0563,0,-0.006594513,-0.006630935
0.0564,0,-0.006607654,-0.006642972
0.0565,0,-0.006622102,-0.006653746
0.0566,0,-0.006637548,-0.006663612
0.0567,0,-0.006653557,-0.006673069
0.0568,0,-0.006669633,-0.006682683
0.0569,0,-0.006685293,-0.006693009
0.057,0,-0.006700134,-0.006704509
0.0571,0,-0.006713894,-0.006717482
0.0572,0,-0.006726483,-0.006732032
0.0573,0,-0.006737996,-0.006748052
0.0574,0,-0.006748689,-0.006765248
0.0575,0,-0.006758949,-0.006783181
0.0576,0,-0.00676923,-0.00680133
0.0577,0,-0.006779995,-0.006819167
0.0578,0,-0.006791642,-0.006836237
0.0579,0,-0.006804451,-0.006852221
0.058,0,-0.006818547,-0.006866973
0.0581,0,-0.006833884,-0.006880547
0.0582,0,-0.006850258,-0.006893175
0.0583,0,-0.006867339,-0.006905232
0.0584,0,-0.006884722,-0.006917181
0.0585,0,-0.006901985,-0.0069295
0.0586,0,-0.006918755,-0.006942615
0.0587,0,-0.00693476,-0.006956836
0.0588,0,-0.006949869,-0.006972309
0.0589,0,-0.006964107,-0.006989005
0.059,0,-0.006977646,-0.007006722
0.0591,0,-0.006990775,-0.007025132
0.0592,0,-0.007003847,-0.007043826
0.0593,0,-0.007017226,-0.007062384
0.0594,0,-0.007031229,-0.007080442
0.0595,0,-0.007046072,-0.007097748
0.0596,0,-0.007061845,-0.007114195
0.0597,0,-0.007078507,-0.007129825
0.0598,0,-0.007095887,-0.007144829
